[0.000000] (-) TimerEvent: {}
[0.000712] (-) JobUnselected: {'identifier': 'astra_camera'}
[0.000744] (-) JobUnselected: {'identifier': 'astra_camera_msgs'}
[0.000771] (-) JobUnselected: {'identifier': 'br2_basics'}
[0.000791] (-) JobUnselected: {'identifier': 'br2_bt_bumpgo'}
[0.000811] (-) JobUnselected: {'identifier': 'br2_bt_patrolling'}
[0.000829] (-) JobUnselected: {'identifier': 'br2_fsm_bumpgo_cpp'}
[0.000846] (-) JobUnselected: {'identifier': 'br2_fsm_bumpgo_py'}
[0.000863] (-) JobUnselected: {'identifier': 'br2_navigation'}
[0.000880] (-) JobUnselected: {'identifier': 'br2_tf2_detector'}
[0.000897] (-) JobUnselected: {'identifier': 'br2_tiago'}
[0.000927] (-) JobUnselected: {'identifier': 'br2_tracking'}
[0.000943] (-) JobUnselected: {'identifier': 'br2_tracking_msgs'}
[0.000960] (-) JobUnselected: {'identifier': 'br2_vff_avoidance'}
[0.000977] (-) JobUnselected: {'identifier': 'camera_calibration'}
[0.000994] (-) JobUnselected: {'identifier': 'depth_image_proc'}
[0.001010] (-) JobUnselected: {'identifier': 'groot'}
[0.001026] (-) JobUnselected: {'identifier': 'hey5_description'}
[0.001044] (-) JobUnselected: {'identifier': 'image_pipeline'}
[0.001061] (-) JobUnselected: {'identifier': 'image_proc'}
[0.001078] (-) JobUnselected: {'identifier': 'image_publisher'}
[0.001095] (-) JobUnselected: {'identifier': 'image_rotate'}
[0.001111] (-) JobUnselected: {'identifier': 'image_view'}
[0.001128] (-) JobUnselected: {'identifier': 'launch_pal'}
[0.001145] (-) JobUnselected: {'identifier': 'my_robot_controller'}
[0.001161] (-) JobUnselected: {'identifier': 'pal_gazebo_worlds'}
[0.001178] (-) JobUnselected: {'identifier': 'pal_gripper'}
[0.001195] (-) JobUnselected: {'identifier': 'pal_gripper_controller_configuration'}
[0.001211] (-) JobUnselected: {'identifier': 'pal_gripper_description'}
[0.001229] (-) JobUnselected: {'identifier': 'pmb2_2dnav'}
[0.001245] (-) JobUnselected: {'identifier': 'pmb2_bringup'}
[0.001261] (-) JobUnselected: {'identifier': 'pmb2_controller_configuration'}
[0.001278] (-) JobUnselected: {'identifier': 'pmb2_description'}
[0.001295] (-) JobUnselected: {'identifier': 'pmb2_laser_sensors'}
[0.001311] (-) JobUnselected: {'identifier': 'pmb2_maps'}
[0.001336] (-) JobUnselected: {'identifier': 'pmb2_navigation'}
[0.001357] (-) JobUnselected: {'identifier': 'pmb2_robot'}
[0.001383] (-) JobUnselected: {'identifier': 'rf2o_laser_odometry'}
[0.001400] (-) JobUnselected: {'identifier': 'rplidar_ros'}
[0.001417] (-) JobUnselected: {'identifier': 'rtabmap'}
[0.001434] (-) JobUnselected: {'identifier': 'rtabmap_conversions'}
[0.001451] (-) JobUnselected: {'identifier': 'rtabmap_demos'}
[0.001468] (-) JobUnselected: {'identifier': 'rtabmap_examples'}
[0.001484] (-) JobUnselected: {'identifier': 'rtabmap_launch'}
[0.001501] (-) JobUnselected: {'identifier': 'rtabmap_msgs'}
[0.001518] (-) JobUnselected: {'identifier': 'rtabmap_odom'}
[0.001534] (-) JobUnselected: {'identifier': 'rtabmap_python'}
