[0.000000] (-) TimerEvent: {}
[0.000429] (-) JobUnselected: {'identifier': 'astra_camera'}
[0.000464] (-) JobUnselected: {'identifier': 'astra_camera_msgs'}
[0.000487] (-) JobUnselected: {'identifier': 'camera_calibration'}
[0.000509] (-) JobUnselected: {'identifier': 'cpp_pubsub'}
[0.000529] (-) JobUnselected: {'identifier': 'cpp_srvcli'}
[0.000547] (-) JobUnselected: {'identifier': 'depth_image_proc'}
[0.000565] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_client'}
[0.000583] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_server'}
[0.000600] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_client'}
[0.000617] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_composition'}
[0.000635] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_publisher'}
[0.000652] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_service'}
[0.000669] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_subscriber'}
[0.000686] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_timer'}
[0.000702] (-) JobUnselected: {'identifier': 'examples_rclcpp_multithreaded_executor'}
[0.000719] (-) JobUnselected: {'identifier': 'examples_rclpy_executors'}
[0.000735] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_client'}
[0.000752] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_server'}
[0.000768] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_client'}
[0.000785] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_publisher'}
[0.000804] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_service'}
[0.000820] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_subscriber'}
[0.000838] (-) JobUnselected: {'identifier': 'image_pipeline'}
[0.000855] (-) JobUnselected: {'identifier': 'image_proc'}
[0.000870] (-) JobUnselected: {'identifier': 'image_publisher'}
[0.000886] (-) JobUnselected: {'identifier': 'image_rotate'}
[0.000901] (-) JobUnselected: {'identifier': 'image_view'}
[0.000918] (-) JobUnselected: {'identifier': 'more_interfaces'}
[0.000934] (-) JobUnselected: {'identifier': 'my_robot_controller'}
[0.000950] (-) JobUnselected: {'identifier': 'rplidar_ros'}
[0.000965] (-) JobUnselected: {'identifier': 'rtabmap'}
[0.000983] (-) JobUnselected: {'identifier': 'rtabmap_conversions'}
[0.000999] (-) JobUnselected: {'identifier': 'rtabmap_demos'}
[0.001015] (-) JobUnselected: {'identifier': 'rtabmap_examples'}
[0.001032] (-) JobUnselected: {'identifier': 'rtabmap_launch'}
[0.001048] (-) JobUnselected: {'identifier': 'rtabmap_msgs'}
[0.001065] (-) JobUnselected: {'identifier': 'rtabmap_odom'}
[0.001081] (-) JobUnselected: {'identifier': 'rtabmap_python'}
[0.001097] (-) JobUnselected: {'identifier': 'rtabmap_ros'}
[0.001112] (-) JobUnselected: {'identifier': 'rtabmap_rviz_plugins'}
[0.001129] (-) JobUnselected: {'identifier': 'rtabmap_slam'}
[0.001145] (-) JobUnselected: {'identifier': 'rtabmap_sync'}
[0.001161] (-) JobUnselected: {'identifier': 'rtabmap_util'}
[0.001177] (-) JobUnselected: {'identifier': 'rtabmap_viz'}
[0.001193] (-) JobUnselected: {'identifier': 'sllidar_ros2'}
[0.001207] (-) JobUnselected: {'identifier': 'stereo_image_proc'}
[0.001224] (-) JobUnselected: {'identifier': 'tracetools_image_pipeline'}
[0.001240] (-) JobUnselected: {'identifier': 'tutourial_intefaces'}
[0.001612] (-) EventReactorShutdown: {}
